Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Biblioteca Mercè Rodoreda,Coberta,22,50000,Horta-Guinardó,18000,2.165518740384,7,Autoconsum,40,2015,41.414408846195,"Carrer Camèlies, 76-80"
Pèrgoles Parc de les Rieres d'Horta (Avinguda Estatut),Espai públic,28,64800,Horta-Guinardó,23328,2.153250679437,7,Autoconsum,64.8,2015,41.433712353051,Parc Rieres d'Horta
Pèrgola Jardins Rodrigo Caro,Espai públic,3,7690,Nou Barris,2768,2.171404760930,8,Autoconsum amb bateries,7.69,2015,41.448275734011,Parc Jardins Rodrigo Caro
Centre Cívic Baró de Viver,Coberta,6,14375,Sant Andreu,5175,2.199171198058,9,Autoconsum,11.5,2015,41.446208021335,"Carrer Quito, 5"
Museu del Disseny,Coberta,85,196000,Sant Martí,70560,2.187757894880,10,Connexió a xarxa,156.8,2015,41.402819093666,"Plaça de les Glòries Catalanes, 37"
"Centre Cívic Joan Oliver ""Pere Quart""",Coberta,3,7500,Les Corts,2700,2.127821640382,4,Autoconsum,6,2016,41.379469685913,"Carrer Comandante Benítez, 6"
Pèrgola Pl. del Centre,Espai públic,5,12480,Les Corts,4493,2.135641015559,4,Autoconsum amb bateries,12.48,2016,41.382053119881,Plaça del Centre
Biblioteca Les Corts - Montserrat Abelló,Coberta,16,36400,Les Corts,13104,2.135424684566,4,Autoconsum,29.12,2016,41.383706126916,"Carrer dels Comtes de Bell-Lloc, 192"
Pèrgola Pont de Sarajevo,Espai públic,2,4000,Nou Barris,1440,2.189263339124,8,Connexió a xarxa,4,2016,41.451623536388,"Carrer d'Almassora, 732"
Mercat de Provençals,Coberta,3,7650,Sant Martí,2754,2.196323125037,10,Autoconsum,6.12,2016,41.419800896012,"Carrer Menorca, 19"
Pèrgola Jardins Interior d'Illa de Safo,Espai públic,2,4000,Eixample,1440,2.146278688073,2,Autoconsum amb bateries,4,2017,41.380721339430,"Avinguda Roma, 22"
Residència Francesc Layret,Coberta,5,11025,Eixample,3969,2.155416498056,2,Autoconsum,8.82,2017,41.380291785758,"Gran Via de Les Corts Catalanes, 475"
Pèrgoles Pl. Joan Pelegrí,Espai públic,6,14310,Sants-Montjuïc,5152,2.142187627910,3,Autoconsum,14.31,2017,41.376394825251,Plaça Joan Pelegrí
Cementiri de Montjuic,Coberta,8,18000,Sants-Montjuïc,6480,2.158897951641,3,Autoconsum,14.4,2017,41.355258592458,"Carrer de la Mare de Déu de Port, 56- 58"
Pèrgoles Avinguda Tarradellas,Espai públic,13,30660,Les Corts,11038,2.143675587262,4,Autoconsum amb bateries,30.66,2017,41.390260921781,Av. Tarradellas amb Av. Sarrià
Vil·la Urània,Coberta,10,23913,Sarrià-Sant Gervasi,8609,2.149668935096,5,Autoconsum,19.13,2017,41.401487922877,"Via Augusta, 102"
Centre Cívic Can Clariana (Espai Felip II),Coberta,2,3750,Sant Andreu,1350,2.178573413404,9,Autoconsum,3,2017,41.427779167012,"Carrer Felip II, 222"
Casal de barri Can Portabella,Coberta,5,12250,Sant Andreu,4410,2.194047740168,9,Autoconsum,9.8,2017,41.429148267256,"Carrer Virgili, 18"
La Fàbrica del Sol,Coberta,10,22450,Ciutat Vella,8082,2.191836198056,1,Autoconsum,17.96,2018,41.382344329579,"Passeig de Salvat Papasseit, 1"
Pèrgoles Cobertura Vies de Sants,Espai públic,36,83400,Sants-Montjuïc,30024,2.131237153311,3,Connexió a xarxa,83.4,2018,41.370686586375,Vies de Sants
Biblioteca Les Corts- Miquel Llongueras,Coberta,8,18000,Les Corts,6480,2.121746586446,4,Autoconsum,14.4,2018,41.377869909673,"Travessera de les Corts, 58"
Biblioteca Clarà,Coberta,7,17100,Sarrià-Sant Gervasi,6156,2.129692766925,5,Autoconsum,13.68,2018,41.399716168652,"Carrer del Dr. Carulla, 22"
Biblioteca Vallcarca i els Penitents-M. Antonieta Cot i Miralpeix,Coberta,4,8050,Gràcia,2898,2.139638818414,6,Autoconsum,6.44,2018,41.420050226318,"Passeig de la Vall d'Hebron, 65-69"
Casal de Gent Gran Sant Genís,Coberta,3,7950,Horta-Guinardó,2862,2.138999340384,7,Autoconsum,6.36,2018,41.426273659913,"Carrer Naïm, 10-12"
Pèrgola Joan Cortada,Espai públic,5,11700,Horta-Guinardó,4212,2.159700813835,7,Connexió a xarxa,11.7,2018,41.415683530196,Plaça Joan Cortada
Mercat del Guinardó,Coberta,8,17500,Horta-Guinardó,6300,2.180512753874,7,Autoconsum,14,2018,41.419629250990,"Carrer Teodoro Lorente, 30"
Biblioteca Montbau - Albert Pérez Baró,Coberta,11,25125,Horta-Guinardó,9045,2.142042120799,7,Autoconsum,20.1,2018,41.429445065501,"Carrer de l'Arquitectura, 8"
Vestidors camp de fútbol Turó de la Peira,Coberta,3,6000,Nou Barris,2160,2.168283692932,8,Autoconsum,4.8,2018,41.432916647101,"Carrer de Beret, 5"
Casal de barri Trinitat Nova,Coberta,5,11238,Nou Barris,4046,2.187457330231,8,Autoconsum,8.99,2018,41.452673423135,"C. de Garbí, 3"
Pèrgola Parc Josep Maria Serra Martí,Espai públic,13,29700,Nou Barris,10692,2.166947510231,8,Autoconsum,29.7,2018,41.442153117039,Parc de Serra i Martí
Biblioteca Trinitat Vella-José Barbero,Coberta,8,18900,Sant Andreu,6804,2.190725181778,9,Autoconsum,15.12,2018,41.449251180315,"Carrer de Galícia, 16"
Centre Cívic Trinitat Vella,Coberta,15,35200,Sant Andreu,12672,2.191214255731,9,Connexió a xarxa,28.16,2012,41.451768366126,"Carrer Foradada, 36"
Cal l'Alier,Coberta,37,85463,Sant Martí,30767,2.203817811547,10,Autoconsum,68.37,2018,41.410141376588,"Carrer de Fluvià, 120X"
HPO Ciutat Vella (IMHAB),Parets i mitgeres,3,5940,Ciutat Vella,2138,2.171302198056,1,Autoconsum,5.94,2019,41.378045487979,"Carrer Sant Ramon, 6"
Convent de Sant Agustí,Coberta,19,44100,Ciutat Vella,15876,2.181564263305,1,Autoconsum,35.28,2019,41.387719613611,"Carrer del Comerç, 36"
Pèrgola Centre de Neteja Joan Miró,Espai públic,18,40800,Eixample,14688,2.147207087641,2,Connexió a xarxa,40.8,2019,41.377996002872,Parc Joan Miró
Seu del districte de Sarrià,Coberta,4,8938,Sarrià-Sant Gervasi,3218,2.121333569042,5,Autoconsum,7.15,2019,41.399099713612,"Plaça del Consell de la Vila, 7"
Punt verd zona Collserola (Deixalleria de Gràcia),Coberta,12,27500,Gràcia,9900,2.136860801454,6,Autoconsum,22,2019,41.416709065899,"Carrer de Collserola, 2"
Casal Mas Guinardó,Coberta,3,7475,Horta-Guinardó,2691,2.174728732782,7,Autoconsum,5.98,2019,41.418550148749,"Plaça de Salvador Riera, 2"
Casal de Gent Gran d’Horta,Coberta,11,26125,Horta-Guinardó,9405,2.161680542240,7,Autoconsum,20.9,2019,41.434642924198,"Carrer de Feliu i Codina, 37-43"
CEM Turó de la Peira,Coberta,53,121875,Nou Barris,43875,2.172374754159,8,Autoconsum,97.5,2019,41.433005496125,"Carrer de Sant Iscle, 50-54"
Arxiu municipal de Sant Andreu,Coberta,7,15813,Sant Andreu,5693,2.192109008500,9,Autoconsum,12.65,2019,41.437143362142,"Carrer Segadors, 2"
Escola Ignasi Iglésias,Coberta,18,62775,Sant Andreu,22599,2.191599906231,9,Autoconsum,50.22,2019,41.441863860468,"Pg. Torras i Bages, 108 – C. Palomar, 52-56"
Institut Maria Espinalt,Parets i mitgeres,17,39600,Sant Martí,14256,2.202682482710,10,Autoconsum,39.6,2019,41.406307831988,"Camí Antic de València, 82"
